,Player,Nation,Pos,Age,MP,Clube,Year,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Playing Time MP
209,Tomas Pochettino,ar ARG,"MF,FW",27.0,,Fortaleza,2024,19,1648.0,18.3,5.0,6.0,11.0,5.0,0.0,1.0,3.0,0.0,0.27,0.33,0.6,0.27,0.6,3.2,2.2,4.7,6.9,57.0,89.0,117.0,0.17,0.26,0.43,0.12,0.38,32
210,Tomás Cardona,ar ARG,DF,28.0,,Fortaleza,2024,16,1435.0,15.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,0.5,0.5,0.0,0.5,11.0,50.0,0.0,0.03,0.0,0.03,0.03,0.03,17
211,Leandro Emmanuel Martínez,ar ARG,"MF,FW",29.0,,Fortaleza,2024,11,1011.0,11.2,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.09,0.36,0.45,0.09,0.45,1.0,1.0,1.9,2.8,15.0,51.0,33.0,0.09,0.17,0.25,0.09,0.25,20
212,Eros Mancuso,ar ARG,"DF,FW",24.0,,Fortaleza,2024,11,923.0,10.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.1,0.2,0.29,0.1,0.29,0.6,0.6,0.7,1.3,13.0,32.0,37.0,0.06,0.07,0.12,0.06,0.12,12
213,Kervin Andrade,ve VEN,MF,18.0,,Fortaleza,2024,4,484.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.19,0.19,0.37,0.19,0.37,1.1,1.1,1.1,2.2,6.0,17.0,39.0,0.2,0.21,0.41,0.2,0.41,13
214,Imanol Machuca,ar ARG,"FW,MF",24.0,,Fortaleza,2024,4,436.0,4.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.21,0.21,0.41,0.21,0.41,0.8,0.8,1.0,1.9,25.0,14.0,34.0,0.17,0.21,0.39,0.17,0.39,15
215,Gonzalo Escobar,ar ARG,DF,26.0,,Fortaleza,2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
216,Andrés D'Alessandro,ar ARG,"FW,MF",32.0,33,Internacional,2014,33,2752.0,30.6,6.0,9.0,15.0,5.0,1.0,2.0,6.0,0.0,0.2,0.29,0.49,0.16,0.46,,,,,,,,,,,,,
217,Charles Aránguiz,cl CHI,MF,24.0,24,Internacional,2014,24,2089.0,23.2,6.0,3.0,9.0,6.0,0.0,0.0,7.0,0.0,0.26,0.13,0.39,0.26,0.39,,,,,,,,,,,,,
218,Otávio,pt POR,"FW,MF",18.0,6,Internacional,2014,2,228.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
219,Carlos Luque,ar ARG,"FW,MF",20.0,1,Internacional,2014,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
220,Lisandro López,ar ARG,"FW,MF",31.0,24,Internacional,2015,20,1742.0,19.4,4.0,2.0,6.0,4.0,0.0,0.0,6.0,1.0,0.21,0.1,0.31,0.21,0.31,,,,,,,,,,,,,
221,Nicolás Freitas,uy URU,MF,27.0,16,Internacional,2015,13,1157.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
222,Andrés D'Alessandro,ar ARG,"FW,MF",33.0,15,Internacional,2015,12,1086.0,12.1,0.0,2.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,
223,Carlos Luque,ar ARG,"FW,MF",21.0,1,Internacional,2015,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
224,Luis Manuel Seijas,ve VEN,MF,29.0,,Internacional,2016,15,1212.0,13.5,4.0,1.0,5.0,3.0,1.0,1.0,3.0,0.0,0.3,0.07,0.37,0.22,0.3,,,,,,,,,,,,,19
225,Nicolás López,uy URU,"FW,MF",22.0,,Internacional,2016,8,775.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,12
226,Ariel Nahuelpán,ar ARG,FW,28.0,,Internacional,2016,2,379.0,4.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.24,0.24,0.47,0.24,0.47,,,,,,,,,,,,,11
227,Paulo Magalhães,cl CHI,"DF,MF",26.0,,Internacional,2016,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2
228,Yonatthan Rak,uy URU,DF,22.0,,Internacional,2016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
229,Víctor Cuesta,ar ARG,DF,29.0,34,Internacional,2018,34,3049.0,33.9,2.0,2.0,4.0,2.0,0.0,0.0,13.0,1.0,0.06,0.06,0.12,0.06,0.12,,,,,,,,,,,,,
230,Nicolás López,uy URU,"FW,MF",24.0,35,Internacional,2018,26,2337.0,26.0,11.0,6.0,17.0,9.0,2.0,2.0,5.0,0.0,0.42,0.23,0.65,0.35,0.58,,,,,,,,,,,,,
231,Andrés D'Alessandro,ar ARG,"FW,MF",36.0,24,Internacional,2018,12,1265.0,14.1,3.0,2.0,5.0,0.0,3.0,3.0,5.0,1.0,0.21,0.14,0.36,0.0,0.14,,,,,,,,,,,,,
232,Jonatan Álvez,uy URU,FW,29.0,17,Internacional,2018,10,798.0,8.9,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,0.45,0.0,0.45,0.45,0.45,,,,,,,,,,,,,
233,Martín Sarrafiore,ar ARG,MF,20.0,1,Internacional,2018,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
234,Víctor Cuesta,ar ARG,DF,30.0,31,Internacional,2019,30,2713.0,30.1,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.07,0.03,0.07,1.7,1.7,1.1,2.7,34.0,104.0,4.0,0.06,0.04,0.09,0.06,0.09,
235,Paolo Guerrero,pe PER,FW,35.0,24,Internacional,2019,23,2010.0,22.3,10.0,1.0,11.0,10.0,0.0,1.0,3.0,1.0,0.45,0.04,0.49,0.45,0.49,9.4,8.6,3.0,11.6,42.0,52.0,169.0,0.42,0.14,0.56,0.38,0.52,
236,Nicolás López,uy URU,"FW,MF",25.0,25,Internacional,2019,19,1586.0,17.6,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.06,0.17,0.23,0.06,0.23,5.6,5.6,4.9,10.6,68.0,73.0,152.0,0.32,0.28,0.6,0.32,0.6,
237,Andrés D'Alessandro,ar ARG,"MF,FW",37.0,23,Internacional,2019,15,1515.0,16.8,1.0,3.0,4.0,1.0,0.0,1.0,7.0,0.0,0.06,0.18,0.24,0.06,0.24,2.0,1.2,4.1,5.4,39.0,215.0,126.0,0.12,0.25,0.37,0.07,0.32,
238,Martín Sarrafiore,ar ARG,"FW,MF",21.0,19,Internacional,2019,5,658.0,7.3,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.41,0.0,0.41,0.41,0.41,1.2,1.2,0.9,2.1,26.0,31.0,45.0,0.16,0.13,0.28,0.16,0.28,
239,Santiago Tréllez,co COL,FW,29.0,4,Internacional,2019,4,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.1,1.8,1.0,2.0,12.0,0.53,0.02,0.56,0.53,0.56,
240,Jonatan Álvez,uy URU,FW,30.0,3,Internacional,2019,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.1,1.4,0.0,3.0,7.0,1.37,0.06,1.43,1.37,1.43,
241,Johnny Cardoso,us USA,FW,17.0,1,Internacional,2019,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
242,Víctor Cuesta,ar ARG,DF,31.0,35,Internacional,2020,35,3131.0,34.8,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.6,1.5,29.0,128.0,8.0,0.03,0.02,0.04,0.03,0.04,
243,Abel Hernández,uy URU,FW,29.0,23,Internacional,2020,10,925.0,10.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.29,0.1,0.39,0.29,0.39,5.3,5.3,0.7,6.0,5.0,20.0,52.0,0.51,0.07,0.58,0.51,0.58,
244,Renzo Saravia,ar ARG,DF,26.0,8,Internacional,2020,8,720.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.12,0.0,0.12,0.1,0.1,0.6,0.7,14.0,23.0,43.0,0.02,0.08,0.09,0.02,0.09,
245,Damián Musto,ar ARG,MF,32.0,14,Internacional,2020,6,636.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.14,0.0,0.14,0.14,0.14,0.3,0.3,0.1,0.4,4.0,42.0,5.0,0.04,0.01,0.05,0.04,0.05,
246,Johnny Cardoso,us USA,MF,18.0,13,Internacional,2020,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,27.0,11.0,0.03,0.02,0.04,0.03,0.04,
247,Andrés D'Alessandro,ar ARG,"MF,FW",38.0,20,Internacional,2020,4,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.1,1.8,12.0,36.0,48.0,0.12,0.18,0.3,0.12,0.3,
248,Leandro Fernández,ar ARG,"FW,MF",28.0,9,Internacional,2020,3,272.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.33,0.33,0.0,0.33,0.6,0.6,0.3,0.9,6.0,8.0,25.0,0.2,0.1,0.3,0.2,0.3,
249,Paolo Guerrero,pe PER,FW,36.0,3,Internacional,2020,3,231.0,2.6,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.17,0.39,1.56,1.17,1.56,1.6,1.6,1.0,2.6,7.0,8.0,16.0,0.62,0.39,1.01,0.62,1.01,
250,Martín Sarrafiore,ar ARG,FW,22.0,2,Internacional,2020,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,1.0,3.0,9.0,0.18,0.04,0.21,0.18,0.21,
251,Víctor Cuesta,ar ARG,DF,32.0,,Internacional,2021,34,3090.0,34.3,0.0,5.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.15,0.15,0.0,0.15,0.8,0.8,2.1,2.9,24.0,133.0,10.0,0.02,0.06,0.08,0.02,0.08,35
252,Bruno Méndez,uy URU,DF,21.0,,Internacional,2021,25,2217.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,8.0,52.0,2.0,0.03,0.0,0.03,0.03,0.03,25
253,Renzo Saravia,ar ARG,DF,27.0,,Internacional,2021,25,1984.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.7,1.8,49.0,69.0,60.0,0.01,0.08,0.08,0.01,0.08,27
254,Johnny Cardoso,us USA,MF,19.0,,Internacional,2021,11,1211.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.7,11.0,29.0,25.0,0.08,0.05,0.13,0.08,0.13,27
255,Gabriel Mercado,ar ARG,DF,33.0,,Internacional,2021,9,841.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.11,0.0,0.11,0.11,0.11,0.6,0.6,0.4,0.9,3.0,22.0,19.0,0.06,0.04,0.1,0.06,0.1,12
256,Carlos Palacios,cl CHI,"MF,FW",20.0,,Internacional,2021,8,893.0,9.9,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3,0.3,0.0,0.3,1.7,1.7,2.8,4.4,32.0,40.0,53.0,0.17,0.28,0.45,0.17,0.45,20
257,Juan Cuesta,co COL,"FW,MF",18.0,,Internacional,2021,2,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,8.0,0.01,0.08,0.09,0.01,0.09,4
258,Paolo Guerrero,pe PER,"FW,MF",37.0,,Internacional,2021,1,225.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,1.3,1.3,0.2,1.4,2.0,5.0,14.0,0.51,0.07,0.58,0.51,0.58,9
259,Fabricio Bustos,ar ARG,DF,25.0,31,Internacional,2022,31,2673.0,29.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.07,0.1,0.17,0.07,0.17,1.5,1.5,2.5,4.0,45.0,142.0,138.0,0.05,0.08,0.14,0.05,0.14,
260,Carlos de Pena,uy URU,"MF,FW",29.0,34,Internacional,2022,30,2634.0,29.3,5.0,6.0,11.0,3.0,2.0,3.0,6.0,0.0,0.17,0.21,0.38,0.1,0.31,5.1,2.7,7.4,10.1,56.0,210.0,123.0,0.17,0.25,0.43,0.09,0.35,
261,Gabriel Mercado,ar ARG,DF,34.0,26,Internacional,2022,23,2128.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,13.0,52.0,3.0,0.02,0.01,0.02,0.02,0.02,
262,Johnny Cardoso,us USA,MF,20.0,24,Internacional,2022,17,1410.0,15.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.19,0.13,0.32,0.19,0.32,2.9,2.9,2.0,4.8,19.0,75.0,37.0,0.18,0.13,0.31,0.18,0.31,
263,Bruno Méndez,uy URU,DF,22.0,6,Internacional,2022,4,436.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21,0.0,0.21,0.21,0.21,0.4,0.4,0.0,0.4,2.0,9.0,1.0,0.08,0.0,0.08,0.08,0.08,
264,Braian Romero,ar ARG,FW,30.0,17,Internacional,2022,2,346.0,3.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.52,0.0,0.52,0.52,0.52,2.0,2.0,0.1,2.1,4.0,5.0,25.0,0.52,0.04,0.55,0.52,0.55,
265,Andrés D'Alessandro,ar ARG,FW,40.0,1,Internacional,2022,1,71.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.27,0.0,1.27,1.27,1.27,0.1,0.1,0.2,0.3,2.0,7.0,8.0,0.09,0.24,0.33,0.09,0.33,
266,Fabricio Bustos,ar ARG,DF,26.0,,Internacional,2023,28,2499.0,27.8,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,2.9,3.9,39.0,103.0,151.0,0.04,0.1,0.14,0.04,0.14,29
267,Gabriel Mercado,ar ARG,DF,35.0,,Internacional,2023,25,2180.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.8,1.0,39.0,2.0,0.02,0.01,0.03,0.02,0.03,26
268,Johnny Cardoso,us USA,MF,21.0,,Internacional,2023,20,1607.0,17.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,1.0,2.2,18.0,70.0,24.0,0.06,0.06,0.12,0.06,0.12,22
269,Sergio Rochet,uy URU,GK,29.0,,Internacional,2023,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19
270,Enner Valencia,ec ECU,FW,33.0,,Internacional,2023,18,1442.0,16.0,9.0,1.0,10.0,8.0,1.0,2.0,4.0,0.0,0.56,0.06,0.62,0.5,0.56,9.0,7.3,1.0,8.3,44.0,16.0,147.0,0.56,0.06,0.63,0.46,0.52,22
271,Carlos de Pena,uy URU,"MF,FW",30.0,,Internacional,2023,16,1425.0,15.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.13,0.0,0.13,0.13,0.13,1.4,1.4,0.9,2.3,24.0,83.0,54.0,0.09,0.06,0.15,0.09,0.15,27
272,Charles Aránguiz,cl CHI,MF,33.0,,Internacional,2023,16,1267.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,1.0,1.0,1.3,2.3,7.0,89.0,28.0,0.07,0.09,0.16,0.07,0.16,22
273,Nicolás Hernández,co COL,DF,25.0,,Internacional,2023,12,1295.0,14.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.14,0.14,0.0,0.14,0.2,0.2,1.0,1.2,26.0,65.0,2.0,0.01,0.07,0.08,0.01,0.08,23
274,Hugo Mallo,es ESP,DF,31.0,,Internacional,2023,3,325.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,4.0,17.0,15.0,0.09,0.02,0.11,0.09,0.11,6
275,Sergio Rochet,uy URU,GK,30.0,28,Internacional,2024,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
276,Alexandro Bernabei,ar ARG,DF,23.0,23,Internacional,2024,23,2063.0,22.9,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,0.13,0.22,0.35,0.13,0.35,1.3,1.3,4.9,6.3,59.0,114.0,97.0,0.06,0.21,0.27,0.06,0.27,
277,Rafael Borré,co COL,FW,28.0,23,Internacional,2024,23,1870.0,20.8,9.0,3.0,12.0,9.0,0.0,1.0,6.0,0.0,0.43,0.14,0.58,0.43,0.58,12.9,12.1,1.0,13.1,20.0,42.0,129.0,0.62,0.05,0.67,0.58,0.63,
278,Gabriel Mercado,ar ARG,DF,36.0,17,Internacional,2024,13,1186.0,13.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.08,0.0,0.08,0.08,0.08,0.3,0.3,0.7,1.1,2.0,32.0,2.0,0.03,0.06,0.08,0.03,0.08,
279,Agustín Rogel,uy URU,DF,26.0,15,Internacional,2024,13,1055.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.09,0.09,0.0,0.09,1.1,1.1,0.1,1.1,1.0,24.0,0.0,0.09,0.01,0.1,0.09,0.1,
280,Enner Valencia,ec ECU,FW,34.0,24,Internacional,2024,11,961.0,10.7,3.0,1.0,4.0,3.0,0.0,1.0,2.0,0.0,0.28,0.09,0.37,0.28,0.37,4.2,3.4,0.5,4.0,26.0,11.0,70.0,0.4,0.05,0.45,0.32,0.37,
281,Fabricio Bustos,ar ARG,DF,27.0,11,Internacional,2024,9,864.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.1,0.1,0.21,0.1,0.21,0.7,0.7,0.8,1.5,12.0,63.0,64.0,0.08,0.08,0.16,0.08,0.16,
282,Lucas Alario,ar ARG,"FW,MF",31.0,15,Internacional,2024,6,638.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.1,2.0,0.0,7.0,22.0,0.27,0.02,0.29,0.27,0.29,
283,Hugo Mallo,es ESP,DF,32.0,6,Internacional,2024,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.25,0.25,0.2,0.2,0.0,0.3,4.0,17.0,15.0,0.06,0.01,0.07,0.06,0.07,
284,Charles Aránguiz,cl CHI,MF,34.0,7,Internacional,2024,2,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.0,9.0,10.0,0.14,0.02,0.16,0.14,0.16,
285,Braian Aguirre,ar ARG,DF,23.0,1,Internacional,2024,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.0,7.0,4.0,0.06,0.31,0.37,0.06,0.37,
286,Álvaro Pereira,uy URU,"DF,MF",28.0,,Sao-Paulo,2014,21,1811.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.05,0.05,0.0,0.05,,,,,,,,,,,,,21
287,Rafael Tolói,it ITA,DF,23.0,,Sao-Paulo,2014,17,1462.0,16.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,,,,,,,,,,,,,17
288,Dorlan Pabón,co COL,"FW,MF",26.0,,Sao-Paulo,2014,1,158.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,,,,,,,,,,,,,7
289,Rafael Tolói,it ITA,DF,24.0,13,Sao-Paulo,2015,12,1094.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
290,Ricardo Centurión,ar ARG,"FW,MF",22.0,25,Sao-Paulo,2015,10,1115.0,12.4,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.16,0.32,,,,,,,,,,,,,
291,Wilder Guisao,co COL,"FW,MF",23.0,6,Sao-Paulo,2015,4,340.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.26,0.26,0.53,0.26,0.53,,,,,,,,,,,,,
292,Christian Cueva,pe PER,MF,24.0,,Sao-Paulo,2016,23,2015.0,22.4,7.0,5.0,12.0,2.0,5.0,6.0,9.0,1.0,0.31,0.22,0.54,0.09,0.31,,,,,,,,,,,,,24
293,Andrés Chávez,ar ARG,"FW,MF",24.0,,Sao-Paulo,2016,19,1701.0,18.9,9.0,2.0,11.0,9.0,0.0,1.0,4.0,0.0,0.48,0.11,0.58,0.48,0.58,,,,,,,,,,,,,21
294,Eugenio Mena,cl CHI,"DF,MF",27.0,,Sao-Paulo,2016,19,1699.0,18.9,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.05,0.05,0.0,0.05,,,,,,,,,,,,,20
295,Julio Buffarini,ar ARG,"DF,MF",27.0,,Sao-Paulo,2016,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,17
296,Ricardo Centurión,ar ARG,"FW,MF",23.0,,Sao-Paulo,2016,14,1122.0,12.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,,,,,,,,,,,,,15
297,Diego Lugano,uy URU,DF,35.0,,Sao-Paulo,2016,13,1169.0,13.0,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.15,0.0,0.15,0.15,0.15,,,,,,,,,,,,,13
298,Jonathan Calleri,ar ARG,FW,22.0,,Sao-Paulo,2016,4,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,0.77,0.0,0.77,0.77,0.77,,,,,,,,,,,,,5
299,Wilder Guisao,co COL,"FW,MF",24.0,,Sao-Paulo,2016,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
300,Lucas Pratto,ar ARG,FW,28.0,35,Sao-Paulo,2017,35,3007.0,33.4,6.0,5.0,11.0,6.0,0.0,1.0,4.0,1.0,0.18,0.15,0.33,0.18,0.33,,,,,,,,,,,,,
301,Christian Cueva,pe PER,MF,25.0,28,Sao-Paulo,2017,25,2017.0,22.4,2.0,7.0,9.0,2.0,0.0,1.0,3.0,0.0,0.09,0.31,0.4,0.09,0.4,,,,,,,,,,,,,
302,Robert Arboleda,ec ECU,DF,25.0,23,Sao-Paulo,2017,23,2070.0,23.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,0.13,0.04,0.17,0.13,0.17,,,,,,,,,,,,,
303,Jonathan David Gómez,ar ARG,"FW,MF",27.0,12,Sao-Paulo,2017,7,533.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
304,Julio Buffarini,ar ARG,"DF,MF",28.0,7,Sao-Paulo,2017,6,525.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,
305,Diego Lugano,uy URU,DF,36.0,5,Sao-Paulo,2017,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
306,Andrés Chávez,ar ARG,"FW,MF",25.0,1,Sao-Paulo,2017,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
307,Robert Arboleda,ec ECU,DF,26.0,26,Sao-Paulo,2018,26,2334.0,25.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,
308,Joao Rojas,ec ECU,"FW,MF",28.0,18,Sao-Paulo,2018,17,1471.0,16.3,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,0.06,0.31,0.37,0.06,0.37,,,,,,,,,,,,,
309,Santiago Tréllez,co COL,FW,28.0,23,Sao-Paulo,2018,6,745.0,8.3,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.48,0.0,0.48,0.48,0.48,,,,,,,,,,,,,
310,Gonzalo Carneiro,uy URU,FW,22.0,13,Sao-Paulo,2018,4,392.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,,,,,,,,,,,,,
311,Christian Cueva,pe PER,MF,26.0,3,Sao-Paulo,2018,2,177.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.0,1.02,,,,,,,,,,,,,
